T(K)	C
 3.07962561102180E+0000	 1.20887607795404E-0008
 3.10986050521490E+0000	 1.24509405292607E-0008
 3.13843576623626E+0000	 1.27844653877111E-0008
 3.17168824564533E+0000	 1.32615087615633E-0008
 3.20715976896390E+0000	 1.36385474927284E-0008
 3.24236456400618E+0000	 1.40224616362981E-0008
 3.26904095021121E+0000	 1.44414205095756E-0008
 3.30123057555678E+0000	 1.47879702298334E-0008
 3.33861593046894E+0000	 1.53577812966562E-0008
 3.37425860861400E+0000	 1.59439985920011E-0008
 3.40209482425838E+0000	 1.61593509092339E-0008
 3.43416395918266E+0000	 1.67117813646198E-0008
 3.47310385425744E+0000	 1.71682725548908E-0008
 3.50384624512166E+0000	 1.77779929735018E-0008
 3.53899043024577E+0000	 1.81049646870354E-0008
 3.57327609100171E+0000	 1.87293005445590E-0008
 3.61234982006761E+0000	 1.93592654007203E-0008
 3.65558946605669E+0000	 2.01790585897794E-0008
 3.69277900737905E+0000	 2.09437896556270E-0008
 3.72703466392711E+0000	 2.12425355617703E-0008
 3.75681057180267E+0000	 2.17112188683477E-0008
 3.79525272400171E+0000	 2.23334330568541E-0008
 3.83251478571747E+0000	 2.30373603241984E-0008
 3.86928201235634E+0000	 2.39471153767158E-0008
 3.90582533633346E+0000	 2.44524072266028E-0008
 3.94773263918152E+0000	 2.50134236048312E-0008
 3.99619689548572E+0000	 2.60578488258738E-0008
 4.02957876717833E+0000	 2.66978386273851E-0008
 4.07016506733054E+0000	 2.75652981289216E-0008
 4.11230309473865E+0000	 2.83615565635334E-0008
 4.15126137616565E+0000	 2.90638738571657E-0008
 4.19224908634306E+0000	 3.01798763102256E-0008
 4.23834332283794E+0000	 3.09882072011514E-0008
 4.27999489019155E+0000	 3.19548492692494E-0008
 4.32616842545741E+0000	 3.28844064013511E-0008
 4.36191623324752E+0000	 3.36576655360779E-0008
 4.40535352486322E+0000	 3.46773611450101E-0008
 4.45112101306974E+0000	 3.58967037377816E-0008
 4.49761022395822E+0000	 3.67912012031296E-0008
 4.53872501431730E+0000	 3.79242981398907E-0008
 4.58508093550735E+0000	 3.87198766771410E-0008
 4.64280927824512E+0000	 4.05776848506780E-0008
 4.67772639455977E+0000	 4.12214755732616E-0008
 4.72638518215491E+0000	 4.25214111557239E-0008
 4.77546834397563E+0000	 4.38594884886081E-0008
