T(K)	C
 3.50589828092935E+0000	 1.10421645411899E-0007
 3.54114174024186E+0000	 1.13259845735837E-0007
 3.57432587576709E+0000	 1.16557278368626E-0007
 3.61070044836233E+0000	 1.19572413638563E-0007
 3.64639143128525E+0000	 1.22557179497816E-0007
 3.68538525020956E+0000	 1.25104174601801E-0007
 3.72394053487698E+0000	 1.19594677597750E-0007
 3.75779790642473E+0000	 1.31369621809937E-0007
 3.79522733738296E+0000	 1.35136040146799E-0007
 3.83381825489424E+0000	 1.38963398113208E-0007
 3.87232185284921E+0000	 1.42793955180280E-0007
 3.90924472480727E+0000	 1.46218355089554E-0007
 3.94919336321827E+0000	 1.50019706041375E-0007
 3.99639344530454E+0000	 1.44943708670126E-0007
 4.02867094594118E+0000	 1.55605604119057E-0007
 4.06980153229542E+0000	 1.61797240872739E-0007
 4.11146321928619E+0000	 1.66262074374555E-0007
 4.15199033012686E+0000	 1.71337333689746E-0007
 4.19301736328646E+0000	 1.75649244733142E-0007
 4.23182600408351E+0000	 1.78316051980449E-0007
 4.27838071082775E+0000	 1.85081634847575E-0007
 4.32827401857105E+0000	 1.79720858636349E-0007
 4.36190201760035E+0000	 1.93689710878899E-0007
 4.40509986816213E+0000	 1.99204925918092E-0007
 4.45084310965276E+0000	 2.05217731546697E-0007
 4.49717668324527E+0000	 2.11364891156906E-0007
 4.53978954336176E+0000	 2.15951305767828E-0007
 4.58555243411114E+0000	 2.22676145375642E-0007
 4.63080271081413E+0000	 2.28033010400762E-0007
 4.68156028952171E+0000	 2.27373299093572E-0007
 4.72463363769169E+0000	 2.39930987413767E-0007
 4.77248012861098E+0000	 2.46841047822557E-0007
 4.82030450470552E+0000	 2.54086545556132E-0007
 4.86878914592708E+0000	 2.61353874454094E-0007
 4.91445172406638E+0000	 2.67388540777472E-0007
 4.96279607135470E+0000	 2.75070910043651E-0007
 5.02623806360620E+0000	 2.51727408700417E-0007
 5.06373060285105E+0000	 2.85090796661873E-0007
 5.11617080636623E+0000	 2.97053174609033E-0007
 5.16745832133708E+0000	 3.05455762668606E-0007
 5.21724369948459E+0000	 3.14458901718591E-0007
 5.27008353827064E+0000	 3.22969111219738E-0007
 5.32489169488113E+0000	 3.32301161259493E-0007
 5.37610302597344E+0000	 3.41227366540180E-0007
 5.43876259934672E+0000	 3.34258319717077E-0007
 5.48399444286792E+0000	 3.58873908323096E-0007
 5.53951076315814E+0000	 3.69747114144467E-0007
 5.59533444109227E+0000	 3.80555653310831E-0007
 5.64929222339760E+0000	 3.91283281932648E-0007
 5.70441693038854E+0000	 3.99207209236517E-0007
 5.76786980800488E+0000	 4.14038719045165E-0007
 5.82737622421872E+0000	 4.26719596343933E-0007
 5.88697974685914E+0000	 4.13994766796681E-0007
 5.93811238700532E+0000	 4.48624387777845E-0007
 5.99761525723413E+0000	 4.62341816312412E-0007
 6.05866780058099E+0000	 4.75296484169177E-0007
 6.12053708481105E+0000	 4.93193755330754E-0007
 6.17698575725435E+0000	 4.92553697732989E-0007
 6.24289812147538E+0000	 5.27351052050403E-0007
 6.30650462383493E+0000	 5.37040361604594E-0007
 6.37338544416670E+0000	 5.27269992907419E-0007
 6.43027999806965E+0000	 5.59463471063419E-0007
 6.49436096063671E+0000	 5.77038188070286E-0007
 6.55994633831572E+0000	 5.96096197667588E-0007
 6.62575918403290E+0000	 6.12706971624636E-0007
 6.68989674706412E+0000	 6.12406493649297E-0007
 6.75873894355187E+0000	 6.43764265969942E-0007
 6.84154092418984E+0000	 6.23303360994388E-0007
 6.89496051103197E+0000	 6.74796405902981E-0007
 6.96438908334174E+0000	 6.97384987760422E-0007
 7.03635071815711E+0000	 7.20342266421250E-0007
 7.10838578416178E+0000	 7.42058504474716E-0007
 7.17795980924159E+0000	 7.63003233795579E-0007
 7.24523986188650E+0000	 7.82729974027661E-0007
 7.31871117064554E+0000	 8.06080865314029E-0007
 7.39476608992303E+0000	 8.30806075940664E-0007
 7.46951207252787E+0000	 8.38178757915736E-0007
 7.54056382823697E+0000	 8.74626588021218E-0007
 7.61577949112708E+0000	 9.02298776474109E-0007
 7.69267250512987E+0000	 9.30028121210499E-0007
 7.77197561445229E+0000	 9.55846979262150E-0007
 7.84848204850109E+0000	 9.82296600959856E-0007
 7.92728777219738E+0000	 1.01180590268295E-0006
 8.02639359979470E+0000	 1.01006247587379E-0006
 8.08642452544614E+0000	 1.06105411345119E-0006
