setpoint,temperature,resistance,current
4.5,4.50279,431.72057572876895,5.281951900505008e-06
4.5,4.50268,431.69986301086254,5.281951900505008e-06
4.5,4.5038,431.69060012241306,5.281951900505008e-06
4.5,4.50255,431.69658117635595,5.281951900505008e-06
4.5,4.50222,431.73029356925184,5.281951900505008e-06
4.5,4.5019,431.7379342426765,5.281951900505008e-06
4.5,4.5015,431.7631094748971,5.281951900505008e-06
4.5,4.50158,430.5643319028552,7.368062997280774e-06
4.5,4.50179,430.5341213612178,7.368062997280774e-06
4.5,4.5018,430.53085032315045,7.368062997280774e-06
4.5,4.50201,430.522283485236,7.368062997280774e-06
4.5,4.50231,430.49832443566913,7.368062997280774e-06
4.5,4.50208,430.5058769982138,7.368062997280774e-06
4.5,4.50168,430.5373268211363,7.368062997280774e-06
4.5,4.50181,430.5338558425793,7.368062997280774e-06
4.5,4.50228,430.52091945973876,7.368062997280774e-06
4.5,4.5022,430.53116830430804,7.368062997280774e-06
4.5,4.50197,428.08976935688105,1.0278085328021965e-05
4.5,4.50224,428.0817361028527,1.0278085328021965e-05
4.5,4.50159,428.1078147181653,1.0278085328021965e-05
4.5,4.50178,428.12826328606207,1.0278085328021965e-05
4.5,4.50178,428.1342733919745,1.0278085328021965e-05
4.5,4.50164,428.1839348563863,1.0278085328021965e-05
4.5,4.50065,428.14841160983576,1.0278085328021965e-05
4.5,4.50132,428.1608411314985,1.0278085328021965e-05
4.5,4.5011,428.18401613332696,1.0278085328021965e-05
4.5,4.50153,428.1497937357044,1.0278085328021965e-05
4.5,4.50158,423.77375706974425,1.433742328873774e-05
4.5,4.5013,423.7875032885268,1.433742328873774e-05
4.5,4.50183,423.7638693782519,1.433742328873774e-05
4.5,4.5019,423.771971222111,1.433742328873774e-05
4.5,4.50071,423.81992324562884,1.433742328873774e-05
4.5,4.5017,423.75612116907047,1.433742328873774e-05
4.5,4.5022,423.7416302354986,1.433742328873774e-05
4.5,4.50146,423.76698423922494,1.433742328873774e-05
4.5,4.5015,423.74112397323233,1.433742328873774e-05
4.5,4.50081,423.7516762462855,1.433742328873774e-05
4.5,4.5018,414.0090267803483,1.9999999999999998e-05
4.5,4.50157,415.9521695401291,1.9999999999999998e-05
4.5,4.50091,416.00274171797554,1.9999999999999998e-05
4.5,4.50182,416.025001464869,1.9999999999999998e-05
4.5,4.50147,415.97204235839666,1.9999999999999998e-05
4.5,4.50178,416.02872090740624,1.9999999999999998e-05
4.5,4.50149,416.0215601215284,1.9999999999999998e-05
4.5,4.50122,415.9980387277004,1.9999999999999998e-05
4.5,4.50107,415.9863542664736,1.9999999999999998e-05
4.5,4.50139,416.037538477301,1.9999999999999998e-05
5.018135372133243,5.01813,403.6028944669524,1e-06
5.018135372133243,5.01854,403.57985625705686,1e-06
5.018135372133243,5.01843,403.5266050927409,1e-06
5.018135372133243,5.01896,403.519666571472,1e-06
5.018135372133243,5.01875,403.54327601214993,1e-06
5.018135372133243,5.01796,403.54086653494045,1e-06
5.018135372133243,5.01837,403.59108759912937,1e-06
5.018135372133243,5.01702,403.60226095913004,1e-06
5.018135372133243,5.01668,403.58421994483723,1e-06
5.018135372133243,5.01761,403.5783487231878,1e-06
5.018135372133243,5.01727,403.8553303430648,1.3949507939624201e-06
