setpoint,temperature,resistance,current
5.018135372133243,5.02115,418.633890019051,1.433742328873774e-05
5.018135372133243,5.02118,418.6370532595247,1.433742328873774e-05
5.018135372133243,5.01978,418.64618050914555,1.433742328873774e-05
5.018135372133243,5.01888,418.67120993585087,1.433742328873774e-05
5.018135372133243,5.01963,418.68071238871926,1.433742328873774e-05
5.018135372133243,5.02056,418.6737746485091,1.433742328873774e-05
5.018135372133243,5.02022,418.66997094133404,1.433742328873774e-05
5.018135372133243,5.01931,418.6975122077449,1.433742328873774e-05
5.018135372133243,5.019,418.69783304022263,1.433742328873774e-05
5.018135372133243,5.02022,418.6712485795386,1.433742328873774e-05
5.018135372133243,5.02009,415.5884195490302,1.9999999999999998e-05
5.018135372133243,5.02001,416.6717431583519,1.9999999999999998e-05
5.018135372133243,5.01899,416.6011821980942,1.9999999999999998e-05
5.018135372133243,5.01851,416.6055609182635,1.9999999999999998e-05
5.018135372133243,5.01927,416.65003853610966,1.9999999999999998e-05
5.018135372133243,5.01906,416.6141959520061,1.9999999999999998e-05
5.018135372133243,5.01897,416.6484816101053,1.9999999999999998e-05
5.018135372133243,5.01843,416.65807764300223,1.9999999999999998e-05
5.018135372133243,5.02017,416.6302344373347,1.9999999999999998e-05
5.018135372133243,5.01957,416.6289384306539,1.9999999999999998e-05
5.595929469567743,5.59838,393.32789150822794,1e-06
5.595929469567743,5.59913,393.2082530190879,1e-06
5.595929469567743,5.59936,393.3008546828564,1e-06
5.595929469567743,5.59817,393.286281855456,1e-06
5.595929469567743,5.59955,393.3804254128398,1e-06
5.595929469567743,5.59871,393.35358400852544,1e-06
5.595929469567743,5.59747,393.35348737173894,1e-06
5.595929469567743,5.59872,393.331325335374,1e-06
5.595929469567743,5.59798,393.38023858171925,1e-06
5.595929469567743,5.59786,393.380189189584,1e-06
5.595929469567743,5.59953,393.4985695718423,1.3949507939624201e-06
5.595929469567743,5.59964,393.42912410455426,1.3949507939624201e-06
5.595929469567743,5.59836,393.477843694518,1.3949507939624201e-06
5.595929469567743,5.59911,393.42893013140235,1.3949507939624201e-06
5.595929469567743,5.5994,393.45074749257304,1.3949507939624201e-06
5.595929469567743,5.59956,393.43055427168144,1.3949507939624201e-06
5.595929469567743,5.6005,393.47360091668946,1.3949507939624201e-06
5.595929469567743,5.5981,393.4581292486282,1.3949507939624201e-06
5.595929469567743,5.59988,393.44568417752293,1.3949507939624201e-06
5.595929469567743,5.59892,393.4630617087743,1.3949507939624201e-06
5.595929469567743,5.59841,392.80866365821333,1.94588771757639e-06
5.595929469567743,5.59999,392.86615907684285,1.94588771757639e-06
5.595929469567743,5.60039,392.8293076234497,1.94588771757639e-06
5.595929469567743,5.60141,392.8090112926114,1.94588771757639e-06
5.595929469567743,5.60169,392.81859386238295,1.94588771757639e-06
5.595929469567743,5.60168,392.7925102465185,1.94588771757639e-06
5.595929469567743,5.60156,392.76671135977995,1.94588771757639e-06
5.595929469567743,5.601,392.8417805249306,1.94588771757639e-06
5.595929469567743,5.5992,392.844311082628,1.94588771757639e-06
5.595929469567743,5.59806,392.9166543526576,1.94588771757639e-06
5.595929469567743,5.5991,393.1156840118928,2.7144176165949066e-06
5.595929469567743,5.60064,393.09773779388195,2.7144176165949066e-06
5.595929469567743,5.59918,393.1103485642529,2.7144176165949066e-06
5.595929469567743,5.59912,393.09951627642863,2.7144176165949066e-06
5.595929469567743,5.60039,393.079957715255,2.7144176165949066e-06
5.595929469567743,5.59907,393.1169173990326,2.7144176165949066e-06
5.595929469567743,5.59824,393.1160685058954,2.7144176165949066e-06
5.595929469567743,5.59944,393.1065028330877,2.7144176165949066e-06
5.595929469567743,5.59816,393.15298705039714,2.7144176165949066e-06
5.595929469567743,5.59874,393.1435875169732,2.7144176165949066e-06
5.595929469567743,5.59687,392.9467251318656,3.786479009414645e-06
5.595929469567743,5.59858,392.93562382785007,3.786479009414645e-06
5.595929469567743,5.59933,392.9325697498831,3.786479009414645e-06
5.595929469567743,5.59791,392.93404829793496,3.786479009414645e-06
5.595929469567743,5.59849,392.9558975743835,3.786479009414645e-06
5.595929469567743,5.5997,392.94146939546465,3.786479009414645e-06
5.595929469567743,5.59941,392.92801387090293,3.786479009414645e-06
5.595929469567743,5.5982,392.9554756182076,3.786479009414645e-06
5.595929469567743,5.59877,392.9541655123388,3.786479009414645e-06
5.595929469567743,5.59804,392.9690865406083,3.786479009414645e-06
5.595929469567743,5.59851,392.82345920267244,5.281951900505008e-06
5.595929469567743,5.59917,392.7887620967964,5.281951900505008e-06
5.595929469567743,5.60029,392.7755221388296,5.281951900505008e-06
5.595929469567743,5.59981,392.75131495021157,5.281951900505008e-06
5.595929469567743,5.59857,392.78326852050145,5.281951900505008e-06
5.595929469567743,5.59933,392.77786032394454,5.281951900505008e-06
5.595929469567743,5.5991,392.73912963529597,5.281951900505008e-06
